Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2008-07-01 00:00:00-04:00,7.254238605499268,2.079267903017044,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2008-08-01 00:00:00-04:00,8.389649391174316,2.404708425693512,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2008-09-01 00:00:00-04:00,8.962467193603516,2.5688940467681887,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2008-10-01 00:00:00-04:00,8.5064697265625,2.4381924047851564,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2008-11-01 00:00:00-04:00,8.249446868896484,2.3645224571380616,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2008-12-01 00:00:00-05:00,8.695779800415039,2.4924539726333617,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2009-01-01 00:00:00-05:00,7.959339141845703,2.28136945954895,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2009-02-01 00:00:00-05:00,7.019031524658203,2.0118509678497314,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2009-03-01 00:00:00-05:00,7.89877462387085,2.264009972890854,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2009-04-01 00:00:00-04:00,8.128508567810059,2.3298581537742615,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
