Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2004-11-01 00:00:00+01:00,1134.568603515625,1.1062667897009277,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2004-12-01 00:00:00+01:00,1218.9451904296875,1.188538602654419,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2005-01-01 00:00:00+01:00,1227.98583984375,1.1973537330688477,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2005-02-01 00:00:00+01:00,1218.9451904296875,1.188538602654419,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2005-03-01 00:00:00+01:00,1330.443359375,1.2972554497753905,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2005-04-01 00:00:00+02:00,1344.757568359375,1.3112125908166503,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2005-05-01 00:00:00+02:00,1469.0628662109375,1.4324170930133056,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2005-06-01 00:00:00+02:00,1455.8692626953125,1.419552603937378,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2005-07-01 00:00:00+02:00,1520.5574951171875,1.4826271884014892,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2005-08-01 00:00:00+02:00,1556.32666015625,1.5175040916186524,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2005-09-01 00:00:00+02:00,1654.5008544921875,1.61322933067688,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
